year,Tm,Attendance,Attend/G,organization
2008,Indianapolis Colts,1075412,67213,nfl
2008,Jacksonville Jaguars,1052873,65805,nfl
2008,Kansas City Chiefs,1142228,71389,nfl
2008,Miami Dolphins,1067965,66748,nfl
2008,Minnesota Vikings,1023776,63986,nfl
2008,New England Patriots,1100148,68759,nfl
2008,New Orleans Saints,1125938,70371,nfl
2008,New York Giants,1179158,73697,nfl
2008,New York Jets,1170229,73139,nfl
2008,Oakland Raiders,1024023,64001,nfl
2008,Philadelphia Eagles,1111845,69490,nfl
2008,Pittsburgh Steelers,1076998,67312,nfl
2008,San Diego Chargers,1103392,68962,nfl
2008,San Francisco 49ers,1076358,67272,nfl
2008,Seattle Seahawks,1075115,67195,nfl
2008,St. Louis Rams,1050114,65632,nfl
2008,Tampa Bay Buccaneers,1049053,65566,nfl
2008,Tennessee Titans,1088061,68004,nfl
2008,Washington Redskins,1246219,77889,nfl
2007,Arizona Cardinals,1072427,67027,nfl
2007,Atlanta Falcons,1075623,67226,nfl
2007,Baltimore Ravens,1112200,69513,nfl
2007,Buffalo Bills,1140970,71311,nfl
2007,Carolina Panthers,1126754,70422,nfl
2007,Chicago Bears,1041602,65100,nfl
2007,Cincinnati Bengals,1083308,67707,nfl
2007,Cleveland Browns,1110086,69380,nfl
2007,Dallas Cowboys,1087748,67984,nfl
2007,Denver Broncos,1139812,71238,nfl
2007,Detroit Lions,1035791,64737,nfl
2007,Green Bay Packers,1120775,70048,nfl
2007,Houston Texans,1080028,67502,nfl
2007,Indianapolis Colts,1009598,63100,nfl
2007,Jacksonville Jaguars,1066830,66677,nfl
2007,Kansas City Chiefs,1143671,71479,nfl
2007,Miami Dolphins,1154961,72185,nfl
2007,Minnesota Vikings,1065131,66571,nfl
2007,New England Patriots,1109366,69335,nfl
2007,New Orleans Saints,1093544,68347,nfl
2007,New York Giants,1197501,74844,nfl
2007,New York Jets,1175701,73481,nfl
2007,Oakland Raiders,1033850,64616,nfl
2007,Philadelphia Eagles,1127787,70487,nfl
2007,Pittsburgh Steelers,1061307,66332,nfl
2007,San Diego Chargers,1075885,67243,nfl
2007,San Francisco 49ers,1097841,68615,nfl
2007,Seattle Seahawks,1087363,67960,nfl
2007,St. Louis Rams,1049682,65605,nfl
2007,Tampa Bay Buccaneers,1059844,66240,nfl
2007,Tennessee Titans,1098921,68683,nfl
2007,Washington Redskins,1259463,78716,nfl
2006,Arizona Cardinals,1041022,65064,nfl
2006,Atlanta Falcons,1126210,70388,nfl
2006,Baltimore Ravens,1125187,70324,nfl
2006,Buffalo Bills,1081107,67569,nfl
2006,Carolina Panthers,1147260,71704,nfl
2006,Chicago Bears,1048363,65523,nfl
2006,Cincinnati Bengals,1081250,67578,nfl
2006,Cleveland Browns,1112241,69515,nfl
2006,Dallas Cowboys,1089509,68094,nfl
2006,Denver Broncos,1155737,72234,nfl
2006,Detroit Lions,1021303,63831,nfl
2006,Green Bay Packers,1104825,69052,nfl
2006,Houston Texans,1086443,67903,nfl
2006,Indianapolis Colts,1028634,64290,nfl
2006,Jacksonville Jaguars,1104052,69003,nfl
2006,Kansas City Chiefs,1167512,72970,nfl
2006,Miami Dolphins,1119255,69953,nfl
2006,Minnesota Vikings,1075545,67222,nfl
2006,New England Patriots,1110770,69423,nfl
2006,New Orleans Saints,1108045,69253,nfl
2006,New York Giants,1196814,74801,nfl
2006,New York Jets,1175356,73460,nfl
2006,Oakland Raiders,1039706,64982,nfl
2006,Philadelphia Eagles,1109173,69323,nfl
2006,Pittsburgh Steelers,1052087,65755,nfl
2006,San Diego Chargers,1084416,67776,nfl
2006,San Francisco 49ers,1086093,67881,nfl
2006,Seattle Seahawks,1083593,67725,nfl
2006,St. Louis Rams,1046325,65395,nfl
2006,Tampa Bay Buccaneers,1070781,66924,nfl
2006,Tennessee Titans,1097073,68567,nfl
2006,Washington Redskins,1236415,77276,nfl
2005,Arizona Cardinals,920848,57553,nfl
2005,Atlanta Falcons,1104620,69039,nfl
2005,Baltimore Ravens,1097015,68563,nfl
2005,Buffalo Bills,1090208,68138,nfl
2005,Carolina Panthers,1061837,66365,nfl
2005,Chicago Bears,1015156,63447,nfl
2005,Cincinnati Bengals,1069357,66835,nfl
2005,Cleveland Browns,1081072,67567,nfl
2005,Dallas Cowboys,1081038,67565,nfl
2005,Denver Broncos,1167388,72962,nfl
2005,Detroit Lions,1016559,63535,nfl
2005,Green Bay Packers,1099618,68726,nfl
2005,Houston Texans,1094938,68434,nfl
2005,Indianapolis Colts,1005498,62844,nfl
2005,Jacksonville Jaguars,1037856,64866,nfl
2005,Kansas City Chiefs,1180710,73794,nfl
2005,Miami Dolphins,1107797,69237,nfl
2005,Minnesota Vikings,1063788,66487,nfl
2005,New England Patriots,1136903,71056,nfl
2005,New Orleans Saints,970678,60667,nfl
2005,New York Giants,1157637,72352,nfl
2005,New York Jets,1202681,75168,nfl
2005,Oakland Raiders,1013461,63341,nfl
2005,Philadelphia Eagles,1109699,69356,nfl
2005,Pittsburgh Steelers,1048739,65546,nfl
2005,San Diego Chargers,1090332,68146,nfl
2005,San Francisco 49ers,1113073,69567,nfl
2005,Seattle Seahawks,1067926,66745,nfl
2005,St. Louis Rams,1036861,64804,nfl
2005,Tampa Bay Buccaneers,1044836,65302,nfl
2005,Tennessee Titans,1059178,66199,nfl
2005,Washington Redskins,1260275,78767,nfl
2004,Arizona Cardinals,838557,52410,nfl
2004,Atlanta Falcons,1133146,70822,nfl
2004,Baltimore Ravens,1123288,70206,nfl
2004,Buffalo Bills,1112531,69533,nfl
2004,Carolina Panthers,1132109,70757,nfl
2004,Chicago Bears,1037347,64834,nfl
2004,Cincinnati Bengals,1099386,68712,nfl
2004,Cleveland Browns,1141770,71361,nfl
2004,Dallas Cowboys,1086004,67875,nfl
2004,Denver Broncos,1140618,71289,nfl
2004,Detroit Lions,1043481,65218,nfl
2004,Green Bay Packers,1112569,69536,nfl
2004,Houston Texans,1110049,69378,nfl
2004,Indianapolis Colts,1016831,63552,nfl
2004,Jacksonville Jaguars,1051556,65722,nfl
2004,Kansas City Chiefs,1150728,71921,nfl
2004,Miami Dolphins,1143869,71492,nfl
2004,Minnesota Vikings,1045505,65344,nfl
2004,New England Patriots,1108210,69263,nfl
2004,New Orleans Saints,985096,61569,nfl
2004,New York Giants,1160690,72543,nfl
2004,New York Jets,1132803,70800,nfl
2004,Oakland Raiders,957623,59851,nfl
2004,Philadelphia Eagles,1102843,68928,nfl
2004,Pittsburgh Steelers,1082241,67640,nfl
2004,San Diego Chargers,1027704,64232,nfl
2004,San Francisco 49ers,1024975,64061,nfl
2004,Seattle Seahawks,1040347,65022,nfl
2004,St. Louis Rams,1060941,66309,nfl
2004,Tampa Bay Buccaneers,1046074,65380,nfl
2004,Tennessee Titans,1051732,65733,nfl
2004,Washington Redskins,1240229,77514,nfl
2003,Arizona Cardinals,804401,50275,nfl
2003,Atlanta Falcons,1106928,69183,nfl
2003,Baltimore Ravens,1006929,62933,nfl
2003,Buffalo Bills,1152118,72007,nfl
2003,Carolina Panthers,1078988,67437,nfl
2003,Chicago Bears,1031247,64453,nfl
2003,Cincinnati Bengals,945592,59100,nfl
2003,Cleveland Browns,1139440,71215,nfl
2003,Dallas Cowboys,1071700,66981,nfl
2003,Denver Broncos,1134086,70880,nfl
2003,Detroit Lions,1045766,65360,nfl
2003,Green Bay Packers,1067556,66722,nfl
2003,Houston Texans,1061690,66356,nfl
2003,Indianapolis Colts,993951,62122,nfl
2003,Jacksonville Jaguars,980628,61289,nfl
2003,Kansas City Chiefs,1163872,72742,nfl
2003,Miami Dolphins,1158236,72390,nfl
2003,Minnesota Vikings,1017297,63581,nfl
2003,New England Patriots,1127515,70470,nfl
2003,New Orleans Saints,1072640,67040,nfl
2003,New York Giants,1190530,74408,nfl
2003,New York Jets,1169808,73113,nfl
2003,Oakland Raiders,975793,60987,nfl
2003,Philadelphia Eagles,1124063,70254,nfl
2003,Pittsburgh Steelers,1052513,65782,nfl
2003,San Diego Chargers,997271,62329,nfl
2003,San Francisco 49ers,1050337,65646,nfl
2003,Seattle Seahawks,1005938,62871,nfl
2003,St. Louis Rams,1041463,65091,nfl
2003,Tampa Bay Buccaneers,1087333,67958,nfl
2003,Tennessee Titans,1087279,67955,nfl
2003,Washington Redskins,1194366,74648,nfl
2002,Arizona Cardinals,898877,56180,nfl
2002,Atlanta Falcons,1099147,68697,nfl
2002,Baltimore Ravens,1073464,67092,nfl
2002,Buffalo Bills,1119646,69978,nfl
2002,Carolina Panthers,1092895,68306,nfl
2002,Chicago Bears,1029316,64332,nfl
2002,Cincinnati Bengals,934265,58392,nfl
2002,Cleveland Browns,1110061,69379,nfl
2002,Dallas Cowboys,1047411,65463,nfl
2002,Denver Broncos,1161974,72623,nfl
2002,Detroit Lions,994267,62142,nfl
2002,Green Bay Packers,1046418,65401,nfl
2002,Houston Texans,1061722,66358,nfl
2002,Indianapolis Colts,1004762,62798,nfl
2002,Jacksonville Jaguars,975226,60952,nfl
2002,Kansas City Chiefs,1166177,72886,nfl
2002,Miami Dolphins,1144504,71532,nfl
2002,Minnesota Vikings,1045728,65358,nfl
2002,New England Patriots,1096069,68504,nfl
2002,New Orleans Saints,1068183,66761,nfl
2002,New York Giants,1123668,70229,nfl
2002,New York Jets,1145070,71567,nfl
2002,Oakland Raiders,1042142,65134,nfl
2002,Philadelphia Eagles,1066147,66634,nfl
2002,Pittsburgh Steelers,1023448,63966,nfl
2002,San Diego Chargers,992665,62042,nfl
2002,San Francisco 49ers,1058751,66172,nfl
2002,Seattle Seahawks,984773,61548,nfl
2002,St. Louis Rams,1073461,67091,nfl
2002,Tampa Bay Buccaneers,1044920,65308,nfl
2002,Tennessee Titans,1050989,65687,nfl
2002,Washington Redskins,1182596,73912,nfl
2001,Arizona Cardinals,811391,50712,nfl
2001,Atlanta Falcons,917882,57368,nfl
2001,Baltimore Ravens,1064731,66546,nfl
2001,Buffalo Bills,1005954,62872,nfl
2001,Carolina Panthers,1085651,67853,nfl
2001,Chicago Bears,1059454,66216,nfl
2001,Cincinnati Bengals,988273,61767,nfl
2001,Cleveland Browns,1089586,68099,nfl
2001,Dallas Cowboys,1056213,66013,nfl
2001,Denver Broncos,1115203,69700,nfl
2001,Detroit Lions,1093748,68359,nfl
2001,Green Bay Packers,1040215,65013,nfl
2001,Indianapolis Colts,1006986,62937,nfl
2001,Jacksonville Jaguars,987779,61736,nfl
2001,Kansas City Chiefs,1120677,70042,nfl
2001,Miami Dolphins,1119236,69952,nfl
2001,Minnesota Vikings,1045690,65356,nfl
2001,New England Patriots,977717,61107,nfl
2001,New Orleans Saints,1111335,69458,nfl
2001,New York Giants,1156600,72288,nfl
2001,New York Jets,1158872,72430,nfl
2001,Oakland Raiders,1035571,64723,nfl
2001,Philadelphia Eagles,1061162,66323,nfl
2001,Pittsburgh Steelers,1055127,65945,nfl
2001,San Diego Chargers,1005530,62846,nfl
2001,San Francisco 49ers,1061811,66363,nfl
2001,Seattle Seahawks,1034365,64648,nfl
2001,St. Louis Rams,1081519,67595,nfl
2001,Tampa Bay Buccaneers,1038298,64894,nfl
2001,Tennessee Titans,1089472,68092,nfl
2001,Washington Redskins,1137730,71108,nfl
2000,Arizona Cardinals,893926,55870,nfl
2000,Atlanta Falcons,964579,60286,nfl
2000,Baltimore Ravens,1062373,66398,nfl
2000,Buffalo Bills,1098587,68662,nfl
2000,Carolina Panthers,1095192,68450,nfl
2000,Chicago Bears,1080684,67543,nfl
2000,Cincinnati Bengals,967434,60465,nfl
2000,Cleveland Browns,1057139,66071,nfl
2000,Dallas Cowboys,1075470,67217,nfl
2000,Denver Broncos,1140030,71252,nfl
2000,Detroit Lions,1140926,71308,nfl
2000,Green Bay Packers,1049602,65600,nfl
2000,Indianapolis Colts,1008013,63001,nfl
2000,Jacksonville Jaguars,991957,61997,nfl
2000,Kansas City Chiefs,1115272,69705,nfl
2000,Miami Dolphins,1118883,69930,nfl
2000,Minnesota Vikings,1029262,64329,nfl
2000,New England Patriots,1030594,64412,nfl
2000,New Orleans Saints,980803,61300,nfl
2000,New York Giants,1135455,70966,nfl
2000,New York Jets,1145146,71572,nfl
2000,Oakland Raiders,998655,62416,nfl
2000,Philadelphia Eagles,1039856,64991,nfl
2000,Pittsburgh Steelers,987037,61690,nfl
2000,San Diego Chargers,981863,61366,nfl
2000,San Francisco 49ers,1057954,66122,nfl
2000,Seattle Seahawks,1029085,64318,nfl
2000,St. Louis Rams,1081368,67586,nfl
2000,Tampa Bay Buccaneers,1080729,67546,nfl
2000,Tennessee Titans,1091274,68205,nfl
2000,Washington Redskins,1174332,73396,nfl
,Arizona Cardinals,1005649,62853,nfl
1999,Atlanta Falcons,957594,59850,nfl
1999,Baltimore Ravens,995971,62248,nfl
1999,Buffalo Bills,1103911,68994,nfl
1999,Carolina Panthers,983337,61459,nfl
1999,Chicago Bears,1044226,65264,nfl
1999,Cincinnati Bengals,916042,57253,nfl
1999,Cleveland Browns,1063703,66481,nfl
1999,Dallas Cowboys,1036670,64792,nfl
1999,Denver Broncos,1109037,69315,nfl
1999,Detroit Lions,1094310,68394,nfl
1999,Green Bay Packers,1026536,64159,nfl
1999,Indianapolis Colts,1000238,62515,nfl
1999,Jacksonville Jaguars,1054581,65911,nfl
1999,Kansas City Chiefs,1125231,70327,nfl
1999,Miami Dolphins,1139646,71228,nfl
1999,Minnesota Vikings,1083723,67733,nfl
1999,New England Patriots,1015541,63471,nfl
1999,New Orleans Saints,945488,59093,nfl
1999,New York Giants,1135506,70969,nfl
1999,New York Jets,1149071,71817,nfl
1999,Oakland Raiders,938846,58678,nfl
1999,Philadelphia Eagles,1052846,65803,nfl
1999,Pittsburgh Steelers,972207,60763,nfl
1999,San Diego Chargers,981559,61347,nfl
1999,San Francisco 49ers,1041004,65063,nfl
1999,Seattle Seahawks,1042217,65139,nfl
1999,St. Louis Rams,996035,62252,nfl
1999,Tampa Bay Buccaneers,1000867,62554,nfl
1999,Tennessee Titans,1017727,63608,nfl
1999,Washington Redskins,1160975,72561,nfl
1998,Arizona Cardinals,931131,58196,nfl
1998,Atlanta Falcons,964230,60264,nfl
1998,Baltimore Ravens,984079,61505,nfl
1998,Buffalo Bills,1042465,65154,nfl
1998,Carolina Panthers,969013,60563,nfl
1998,Chicago Bears,888984,55562,nfl
1998,Cincinnati Bengals,890688,55668,nfl
1998,Dallas Cowboys,1074662,67166,nfl
1998,Denver Broncos,1143483,71468,nfl
1998,Detroit Lions,1088584,68037,nfl
1998,Green Bay Packers,1008433,63027,nfl
1998,Indianapolis Colts,951979,59499,nfl
1998,Jacksonville Jaguars,1052428,65777,nfl
1998,Kansas City Chiefs,1105109,69069,nfl
1998,Miami Dolphins,1133314,70832,nfl
1998,Minnesota Vikings,1002032,62627,nfl
1998,New England Patriots,992674,62042,nfl
1998,New Orleans Saints,922225,57639,nfl
1998,New York Giants,1051142,65696,nfl
1998,New York Jets,1068172,66761,nfl
1998,Oakland Raiders,914541,57159,nfl
1998,Philadelphia Eagles,997399,62337,nfl
1998,Pittsburgh Steelers,1005545,62847,nfl
1998,San Diego Chargers,960990,60062,nfl
1998,San Francisco 49ers,1064279,66517,nfl
1998,Seattle Seahawks,1011897,63244,nfl
1998,St. Louis Rams,881037,55065,nfl
1998,Tampa Bay Buccaneers,1009175,63073,nfl
1998,Tennessee Oilers,791806,49488,nfl
1998,Washington Redskins,1020324,63770,nfl